GeneID,Sample-SRR2073144,Sample-SRR2073145
AT1G08510,1733,783
AT1G08520,1098,338
AT1G08530,128,44
AT1G08540,453,74
AT1G08550,140,3
AT1G08560,3972,2551
AT1G08570,871,424
AT1G08580,1639,1317
AT1G08590,120,0
AT1G08592,67,2
AT1G08600,1183,261
AT1G08610,242,36
AT1G08620,649,127
AT1G08630,41,0
AT1G08640,869,729
AT1G08650,1099,698
AT1G08660,413,207
AT1G08670,0,0
AT1G08680,778,277
AT1G08695,0,0
AT1G08700,1235,736
AT1G08710,84,55
AT1G08720,270,153
AT1G08730,1,0
AT1G08735,0,0
AT1G08740,0,0
AT1G08750,341,218
AT1G08760,578,74
AT1G08770,230,156
AT1G08780,828,740
AT1G08790,0,0
AT1G08800,169,6
AT1G08810,0,1
AT1G08820,799,353
AT1G08830,2677,536
AT1G08840,328,122
AT1G08845,143,72
AT1G08860,50,0
AT1G08870,0,0
AT1G08880,4451,4298
AT1G08890,61,53
AT1G08900,28,1
AT1G08910,450,67
AT1G08920,106,71
AT1G08930,66,5
AT1G08940,60,100
AT1G08950,0,0
AT1G08960,306,144
AT1G08970,1015,602
AT1G08980,196,193
AT1G08985,1,0
AT1G08990,5,0
AT1G09000,339,151
AT1G09010,882,204
AT1G09020,996,278
AT1G09026,0,0
AT1G09030,0,0
AT1G09040,183,1
AT1G09050,57,42
AT1G09060,609,249
AT1G09070,651,726
AT1G09080,1,0
AT1G09090,21,0
AT1G09100,950,371
AT1G09110,0,0
AT1G09130,1348,501
AT1G09140,386,356
AT1G09150,1439,548
AT1G09155,30,0
AT1G09157,0,0
AT1G09160,1080,442
AT1G09170,0,0
AT1G09176,0,0
AT1G09180,11,0
AT1G09190,194,129
AT1G09195,40,44
AT1G09200,8926,6510
AT1G09210,3975,1380
AT1G09220,59,7
AT1G09230,155,42
AT1G09240,0,0
AT1G09245,0,0
AT1G09250,467,262
AT1G09260,0,0
AT1G09270,1587,429
AT1G09280,297,96
AT1G09290,374,28
AT1G09300,257,46
AT1G09310,299,197
AT1G09320,444,140
AT1G09330,1022,1062
AT1G09340,487,211
AT1G09350,27,6
AT1G09360,0,0
AT1G09370,5,1
AT1G09380,0,0
AT1G09390,537,402
AT1G09400,20,5
AT1G09410,37,7
AT1G09415,75,0
AT1G09420,54,2
AT1G09421,17,1
AT1G09430,983,444
AT1G09440,36,4
AT1G09450,589,202
AT1G09460,158,21
AT1G09470,571,240
AT1G09480,40,28
AT1G09483,24,16
AT1G09486,648,575
AT1G09490,411,571
AT1G09500,24,69
AT1G09510,1,3
AT1G09520,373,358
AT1G09530,232,79
AT1G09540,9,1
AT1G09550,0,0
AT1G09560,191,44
AT1G09570,2011,857
AT1G09575,55,17
AT1G09580,273,157
AT1G09590,9690,8495
AT1G09600,42,11
AT1G09610,18,12
AT1G09620,4322,1341
AT1G09625,0,0
AT1G09630,1095,524
AT1G09640,6291,4456
AT1G09645,340,510
AT1G09650,74,16
AT1G09660,507,244
AT1G09665,0,0
AT1G09680,96,5
AT1G09690,20345,23111
